,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status,system
428,s15,-409.0,-549.0,-309.0,881.0,-195.0,23.0,-260.0,success,C2
429,s15,,-740.0,1145.0,443.0,-744.0,,,failure,C2
430,s15,,-944.0,504.0,384.0,-206.0,,,failure,C2
431,s15,,-473.0,258.0,494.0,-450.0,,,failure,C2
432,s15,,-825.0,653.0,417.0,-120.0,,,failure,C2
433,s15,-623.0,-337.0,25.0,999.0,-1385.0,1276.0,-1201.0,success,C2
434,s15,-101.0,-78.0,24.0,444.0,-435.0,543.0,-598.0,success,C2
435,s15,91.0,-355.0,111.0,542.0,-522.0,444.0,-129.0,success,C2
436,s15,57.0,-471.0,319.0,317.0,-297.0,216.0,-26.0,success,C2
437,s15,,-182.0,412.0,543.0,-609.0,,,failure,C2
438,s16,-909.0,-77.0,14.0,1109.0,-1458.0,350.0,-847.0,success,C2
439,s16,-649.0,-205.0,-254.0,663.0,-497.0,-10.0,-346.0,success,C2
440,s16,-237.0,-147.0,-111.0,-395.0,443.0,-26.0,-1.0,success,C2
441,s16,-435.0,-270.0,-72.0,430.0,-496.0,25.0,-51.0,success,C2
442,s16,-651.0,-12.0,-363.0,284.0,-485.0,237.0,-312.0,success,C2
443,s16,-655.0,-422.0,-296.0,202.0,-50.0,-50.0,-39.0,success,C2
444,s16,-433.0,-178.0,-315.0,-26.0,-272.0,264.0,95.0,success,C2
445,s16,-385.0,-110.0,-283.0,3062.0,,,-127.0,partial_success,C2
446,s16,-517.0,-44.0,-291.0,780.0,-759.0,-228.0,25.0,success,C2
447,s16,-446.0,-161.0,-191.0,151.0,-317.0,142.0,-70.0,success,C2
448,s17,198.0,343.0,-311.0,233.0,-423.0,139.0,217.0,success,C2
449,s17,597.0,82.0,23.0,-95.0,25.0,-170.0,732.0,success,C2
450,s17,-392.0,-321.0,21.0,-223.0,292.0,-454.0,293.0,success,C2
451,s17,408.0,310.0,9.0,133.0,-537.0,267.0,226.0,success,C2
452,s17,-356.0,-61.0,24.0,-43.0,-269.0,266.0,-272.0,success,C2
453,s17,1708.0,66.0,-93.0,-44.0,140.0,-363.0,2002.0,success,C2
454,s17,452.0,216.0,34.0,91.0,-389.0,225.0,275.0,success,C2
455,s17,625.0,325.0,-527.0,30.0,-25.0,23.0,799.0,success,C2
456,s17,1007.0,201.0,-269.0,283.0,-455.0,40.0,1208.0,success,C2
457,s17,776.0,115.0,-91.0,22.0,-303.0,141.0,892.0,success,C2
458,s18,-243.0,259.0,-139.0,544.0,-554.0,48.0,-401.0,success,C2
459,s18,-270.0,301.0,-203.0,334.0,-310.0,-155.0,-237.0,success,C2
460,s18,-214.0,195.0,-268.0,69.0,81.0,117.0,-408.0,success,C2
461,s18,-56.0,-8.0,170.0,317.0,-350.0,-96.0,-89.0,success,C2
462,s18,66.0,295.0,31.0,117.0,-58.0,-96.0,-223.0,success,C2
463,s18,155.0,480.0,-28.0,-152.0,-63.0,-151.0,69.0,success,C2
464,s18,-256.0,226.0,187.0,-228.0,-56.0,49.0,-434.0,success,C2
465,s18,26.0,806.0,-464.0,101.0,-434.0,141.0,-124.0,success,C2
466,s18,-375.0,-204.0,94.0,-84.0,-249.0,286.0,-218.0,success,C2
467,s18,-375.0,-1014.0,874.0,159.0,-208.0,-95.0,-91.0,success,C2
468,s19,-20.0,252.0,-173.0,-48.0,141.0,-344.0,152.0,success,C2
469,s19,-622.0,-196.0,-250.0,-235.0,829.0,-857.0,87.0,success,C2
470,s19,417.0,302.0,-105.0,-285.0,-178.0,286.0,397.0,success,C2
471,s19,-529.0,-573.0,146.0,-236.0,568.0,-378.0,-56.0,success,C2
472,s19,-904.0,-916.0,-2916.0,-690.0,-877.0,4627.0,-132.0,success,C2
473,s19,-354.0,-448.0,471.0,-681.0,486.0,-436.0,254.0,success,C2
474,s19,165.0,-228.0,418.0,-429.0,-128.0,136.0,396.0,success,C2
475,s19,-30.0,-396.0,-232.0,44.0,424.0,-537.0,667.0,success,C2
476,s19,-67.0,-295.0,54.0,-386.0,223.0,42.0,295.0,success,C2
477,s19,-323.0,-196.0,-38.0,-207.0,222.0,-354.0,250.0,success,C2
478,s20,-1769.0,-582.0,-1549.0,-472.0,-612.0,-371.0,1817.0,success,C2
479,s20,-1850.0,-599.0,-446.0,-372.0,-1820.0,2706.0,-1319.0,success,C2
480,s20,542.0,-416.0,-1475.0,-438.0,-1795.0,4482.0,184.0,success,C2
481,s20,47.0,90.0,-1719.0,-572.0,-1759.0,4757.0,-750.0,success,C2
482,s20,,-222.0,-1776.0,261.0,-1409.0,-254.0,3074.0,failure,C2
483,s20,-382.0,738.0,-1392.0,1175.0,-389.0,611.0,-1124.0,success,C2
484,s20,578.0,409.0,-279.0,-288.0,-707.0,989.0,454.0,success,C2
485,s20,262.0,-810.0,-1223.0,-222.0,-994.0,2191.0,1320.0,success,C2
486,s20,-446.0,-549.0,-1510.0,-304.0,-972.0,1349.0,1540.0,success,C2
487,s20,-508.0,-768.0,743.0,-92.0,-2333.0,-37.0,1979.0,success,C2
488,s21,-2943.0,-207.0,85.0,393.0,-947.0,,-322.0,partial_success,C2
489,s21,-148.0,-128.0,-346.0,451.0,-708.0,694.0,-111.0,success,C2
490,s21,-47.0,-497.0,425.0,1016.0,-1249.0,679.0,-421.0,success,C2
491,s21,,-105.0,,,,,,failure,C2
492,s21,,-677.0,521.0,512.0,-693.0,,,failure,C2
493,s21,-196.0,-244.0,106.0,360.0,-692.0,266.0,8.0,success,C2
494,s21,-212.0,-639.0,400.0,539.0,-610.0,444.0,-346.0,success,C2
495,s21,,-356.0,-178.0,661.0,-827.0,,,failure,C2
496,s21,-427.0,-422.0,527.0,-35.0,-532.0,1148.0,-1113.0,success,C2
497,s22,173.0,-304.0,38.0,294.0,-400.0,283.0,262.0,success,C2
498,s22,-266.0,-207.0,-200.0,327.0,95.0,39.0,-320.0,success,C2
499,s22,-469.0,-270.0,-251.0,343.0,-360.0,207.0,-137.0,success,C2
500,s22,-611.0,-171.0,222.0,232.0,-656.0,284.0,-522.0,success,C2
501,s22,691.0,-122.0,-476.0,,,,493.0,partial_success,C2
502,s22,362.0,-88.0,-248.0,1127.0,-1074.0,21.0,624.0,success,C2
503,s23,-687.0,-18.0,-289.0,150.0,-189.0,105.0,-446.0,success,C2
504,s23,-48.0,-144.0,-47.0,377.0,-204.0,104.0,-134.0,success,C2
505,s23,36.0,184.0,-171.0,444.0,-248.0,73.0,-246.0,success,C2
506,s23,328.0,-61.0,-190.0,150.0,-3.0,139.0,293.0,success,C2
507,s23,94.0,100.0,-154.0,165.0,-283.0,184.0,82.0,success,C2
508,s23,-229.0,133.0,-122.0,-256.0,257.0,-121.0,-120.0,success,C2
509,s23,-198.0,-3.0,-105.0,-12.0,29.0,-72.0,-35.0,success,C2
510,s23,-10.0,5.0,-172.0,6.0,27.0,90.0,33.0,success,C2
511,s23,-356.0,-95.0,46.0,-96.0,79.0,-139.0,-151.0,success,C2
512,s23,-485.0,233.0,-272.0,-161.0,105.0,73.0,-463.0,success,C2
513,s24,98.0,74.0,113.0,-34.0,27.0,-189.0,107.0,success,C2
514,s24,,,,,,,,failure,C2
515,s24,340.0,693.0,-678.0,376.0,-214.0,89.0,74.0,success,C2
516,s24,294.0,704.0,-793.0,377.0,-64.0,-155.0,225.0,success,C2
517,s24,393.0,694.0,-872.0,669.0,-459.0,223.0,138.0,success,C2
518,s24,176.0,561.0,-528.0,-3.0,46.0,-5.0,105.0,success,C2
519,s24,262.0,122.0,-205.0,409.0,-602.0,380.0,158.0,success,C2
520,s24,,,,,,,,failure,C2
521,s24,418.0,708.0,-583.0,343.0,-393.0,383.0,-40.0,success,C2
522,s25,,,82.0,326.0,-380.0,,-137.0,failure,C2
523,s25,,,255.0,530.0,-251.0,16336.0,16975.0,failure,C2
524,s25,,3235.0,687.0,681.0,-812.0,6719.0,5195.0,failure,C2
525,s25,,,533.0,403.0,-356.0,4127.0,4120.0,failure,C2
526,s25,,1099.0,-244.0,560.0,-566.0,3066.0,5434.0,failure,C2
527,s25,,,1191.0,92.0,-323.0,3910.0,4313.0,failure,C2
528,s25,,,736.0,453.0,-372.0,4479.0,3505.0,failure,C2
529,s25,,,5.0,1224.0,-937.0,5214.0,3177.0,failure,C2
530,s25,,,1030.0,-295.0,-557.0,5750.0,1538.0,failure,C2
531,s25,,,1158.0,-36.0,-372.0,2656.0,10707.0,failure,C2
532,s26,,,,,,,,failure,C2
533,s26,-169.0,-188.0,282.0,-177.0,-57.0,-70.0,41.0,success,C2
534,s26,61.0,-225.0,46.0,-44.0,-103.0,230.0,157.0,success,C2
535,s26,145.0,309.0,-117.0,25.0,-89.0,-219.0,237.0,success,C2
536,s26,-54.0,40.0,-47.0,351.0,-452.0,122.0,-68.0,success,C2
537,s26,102.0,-154.0,445.0,-110.0,-307.0,-72.0,300.0,success,C2
538,s26,144.0,91.0,-310.0,569.0,-56.0,-303.0,153.0,success,C2
539,s26,-102.0,157.0,-63.0,-136.0,-47.0,-71.0,58.0,success,C2
540,s26,-89.0,-89.0,-40.0,-138.0,-134.0,87.0,225.0,success,C2
541,s26,-241.0,351.0,-175.0,175.0,-65.0,-39.0,-488.0,success,C2
542,s27,-266.0,-18.0,55.0,181.0,-255.0,-68.0,-161.0,success,C2
543,s27,-310.0,-513.0,-249.0,343.0,-28.0,114.0,23.0,success,C2
544,s27,103.0,49.0,-166.0,242.0,-61.0,66.0,-27.0,success,C2
545,s27,-524.0,-52.0,-433.0,670.0,-607.0,384.0,-486.0,success,C2
546,s27,-166.0,50.0,-250.0,527.0,-263.0,150.0,-380.0,success,C2
547,s27,287.0,-52.0,-417.0,721.0,-364.0,460.0,-61.0,success,C2
548,s27,397.0,81.0,-398.0,636.0,-30.0,210.0,-102.0,success,C2
549,s27,367.0,0.0,-367.0,587.0,-229.0,821.0,-445.0,success,C2
550,s27,155.0,14.0,-550.0,670.0,-221.0,259.0,-17.0,success,C2
551,s27,-382.0,-263.0,-348.0,511.0,-463.0,754.0,-573.0,success,C2
552,s28,-15.0,13.0,14.0,317.0,-361.0,154.0,-152.0,success,C2
553,s28,-49.0,-203.0,13.0,75.0,12.0,58.0,-4.0,success,C2
554,s28,19.0,-347.0,216.0,233.0,-280.0,166.0,31.0,success,C2
555,s28,,,933.0,7.0,-240.0,258.0,-89.0,failure,C2
556,s28,-463.0,-318.0,51.0,48.0,33.0,87.0,-364.0,success,C2
557,s28,,,1470.0,231.0,-227.0,,,failure,C2
558,s28,,-233.0,213.0,236.0,-447.0,,,failure,C2
559,s28,,-214.0,180.0,202.0,-165.0,,,failure,C2
560,s28,,-381.0,281.0,-43.0,-72.0,,,failure,C2
561,s28,,-198.0,333.0,98.0,-264.0,,,failure,C2
562,s29,589.0,273.0,-57.0,459.0,-448.0,140.0,223.0,success,C2
563,s29,151.0,-245.0,147.0,410.0,-403.0,-9.0,251.0,success,C2
564,s29,243.0,-549.0,383.0,-186.0,221.0,-322.0,696.0,success,C2
565,s29,32.0,-238.0,-105.0,132.0,-69.0,-250.0,562.0,success,C2
566,s29,194.0,-27.0,27.0,-160.0,55.0,-77.0,376.0,success,C2
567,s29,-33.0,-158.0,232.0,-31.0,25.0,-92.0,-9.0,success,C2
568,s29,360.0,-196.0,96.0,275.0,-333.0,23.0,495.0,success,C2
569,s29,25.0,-28.0,148.0,14.0,-136.0,115.0,-88.0,success,C2
570,s29,54.0,-480.0,550.0,-152.0,-2.0,-274.0,412.0,success,C2
